a,m1,c1,m2,c2,m3,c3,m4,c4,m5,c5,m6,c6
-0.998, -0.286, -0.295, 0.576, 0.0, 0.6, 0.892, -0.723, -0.361, 0.16, -6.5, -1.0, -1.0
-0.994, -0.293, -0.312, 0.598, -0.122, 0.611, 0.916, -0.637, -0.329, 0.16, -6.5, -1.0, -1.571
-0.99, -0.3, -0.329, 0.62, -0.143, 0.623, 0.939, -0.551, -0.298, 0.16, -6.5, -1.0, -2.142
-0.986, -0.326, -0.385, 0.623, -0.306, 0.634, 0.962, -0.543, -0.266, 0.16, -6.5, -1.0, -2.713
-0.982, -0.373, -0.481, 0.605, -0.307, 0.646, 0.985, -0.616, -0.235, 0.16, -6.5, -1.0, -3.285
-0.978, -0.42, -0.578, 0.587, -0.309, 0.657, 1.008, -0.689, -0.203, 0.16, -6.5, -1.0, -3.856
-0.974, -0.389, -0.517, 0.523, -0.239, 0.669, 1.031, -0.645, -0.148, 0.16, -6.5, -1.0, -4.427
-0.97, -0.356, -0.454, 0.458, -0.168, 0.68, 1.054, -0.598, -0.092, 0.16, -6.5, -1.0, -4.998
-0.966, -0.342, -0.429, 0.419, -0.137, 0.691, 1.078, -0.533, -0.059, 0.16, -6.5, -1.0, -5.569
-0.962, -0.349, -0.446, 0.409, -0.147, 0.703, 1.101, -0.447, -0.052, 0.16, -6.5, -1.0, -6.14
-0.958, -0.356, -0.463, 0.398, -0.158, 0.714, 1.124, -0.361, -0.045, 0.16, -6.5, -1.0, -6.711
-0.954, -0.363, -0.479, 0.381, -0.156, 0.726, 1.147, -0.352, -0.045, 0.16, -6.5, -1.0, -7.283
-0.95, -0.37, -0.496, 0.363, -0.154, 0.737, 1.17, -0.345, -0.046, 0.16, -6.5, -1.0, -7.854
-0.946, -0.377, -0.513, 0.363, -0.185, 0.748, 1.193, -0.305, -0.044, 0.16, -6.5, -1.0, -8.425
-0.942, -0.384, -0.53, 0.386, -0.255, 0.76, 1.216, -0.557, -0.071, 0.16, -6.5, -1.0, -8.996
-0.938, -0.391, -0.546, 0.408, -0.325, 0.771, 1.239, -0.809, -0.088, 0.16, -6.5, -1.0, -9.567
-0.934, -0.398, -0.563, 0.544, -0.292, 0.783, 1.415, -1.257, -0.553, 0.16, -6.5, -1.0, -10.138
-0.93, -0.405, -0.58, 0.686, -0.254, 0.794, 1.598, -1.291, -1.038, 0.16, -6.5, -1.0, -10.709
-0.926, -0.412, -0.596, 0.792, -0.185, 0.806, 1.673, -1.324, -1.739, 0.16, -6.5, -1.0, -11.281
-0.922, -0.419, -0.613, 0.854, -0.077, 0.817, 1.617, -1.357, -2.704, 0.16, -6.5, -1.0, -11.852
-0.918, -0.427, -0.63, 0.916, 0.031, 0.828, 1.56, -1.391, -3.67, 0.16, -6.5, -1.0, -12.423
-0.914, -0.434, -0.647, 0.978, 0.226, 0.84, 1.503, -1.424, -3.886, 0.16, -6.5, -1.0, -12.994
-0.91, -0.441, -0.663, 1.04, 0.428, 0.851, 1.447, -1.458, -4.054, 0.16, -6.5, -1.0, -13.565
-0.906, -0.448, -0.68, 1.084, 0.629, 0.863, 1.425, -1.491, -4.221, 0.16, -6.5, -1.0, -14.136
-0.902, -0.455, -0.697, 1.107, 0.83, 0.874, 1.448, -1.524, -4.389, 0.16, -6.5, -1.0, -14.707
-0.898, -0.462, -0.714, 1.129, 1.032, 0.886, 1.471, -1.558, -4.557, 0.16, -6.5, -1.0, -15.279
