K, E, a, h, θ, α13, ϵ3, r2
1.0, 6.4, 0.488, 60.0, 30.2, 2.1, 9.2, 0.7997679810871657
1.0, 6.4, 0.558, 60.0, 19.1, 4.6, 8.5, 0.6878895398216334
1.0, 6.4, 0.859, 60.0, 59.9, 7.9, 7.0, 0.9014995952810536
1.0, 6.4, 0.071, 60.0, 26.6, -2.6, 0.7, 0.7967695791965302
K, E, a, h, θ, α13, ϵ3, r2
1.0, 6.4, 0.34, 60.0, 79.5, -0.8, 5.9, 0.8651761953109756
1.0, 6.4, 0.416, 60.0, 84.7, -2.0, 6.7, 0.8634627666657209
1.0, 6.4, 0.308, 60.0, 6.3, 2.0, -4.2, 0.8033273532539544
1.0, 6.4, 0.382, 60.0, 41.0, 1.0, -6.7, 0.9537461774496957
1.0, 6.4, 0.184, 60.0, 10.6, 4.6, 0.7, 0.7822047055768444
1.0, 6.4, 0.106, 60.0, 38.4, -5.2, -3.5, 0.9505674582011103
1.0, 6.4, 0.415, 60.0, 6.6, 7.5, 1.7, 0.8057198684369935
K, E, a, h, θ, α13, ϵ3, r2
1.0, 6.4, 0.467, 60.0, 5.0, 0.0, 6.3, 0.7932119234928505
1.0, 6.4, 0.11, 60.0, 5.0, -5.2, -7.6, 0.8015510672272573
1.0, 6.4, 0.22, 60.0, 5.0, -0.4, -5.0, 0.7996376338492132
1.0, 6.4, 0.221, 60.0, 5.0, -4.5, -4.2, 0.7986618573260146
1.0, 6.4, 0.125, 60.0, 5.0, 6.4, -4.1, 0.804916645928685
1.0, 6.4, 0.007, 60.0, 5.0, -3.1, -1.3, 0.7971867979044184
1.0, 6.4, 0.611, 60.0, 5.0, 6.6, 2.6, 0.8004885289574402
1.0, 6.4, 0.217, 60.0, 5.0, 6.7, -3.3, 0.8049183457367488
1.0, 6.4, 0.02, 60.0, 5.0, -3.3, 3.0, 0.792358294288217
K, E, a, h, θ, α13, ϵ3, r2
1.0, 6.4, 0.36, 80.0, 5.0, -2.9, 2.2, 0.7291901274476371
1.0, 6.4, 0.032, 80.0, 5.0, -0.6, 9.1, 0.7312762418225249
1.0, 6.4, 0.685, 80.0, 5.0, 9.3, 5.1, 0.7407552783901814
