K, E, a, h, θ, α13, ϵ3, r2
1.0, 6.4, 0.121, 8.8, 17.6, 1.7, -0.3, 0.9350806448609396
1.0, 6.4, 0.497, 18.4, 8.1, 1.6, 1.4, 0.9716700796871449
1.0, 6.4, 0.069, 16.7, 73.1, -5.2, -0.1, 0.9913172251337897
1.0, 6.4, 0.044, 15.6, 43.4, 6.6, -5.3, 0.9406805974280893
1.0, 6.4, 0.733, 18.1, 18.4, 4.4, -4.7, 0.8333811487335656
1.0, 6.4, 0.739, 3.7, 5.4, 7.2, 3.6, 0.9961327298156968
1.0, 6.4, 0.403, 9.8, 24.4, 8.2, 6.1, 0.9912640413801265
1.0, 6.4, 0.13, 11.3, 49.1, 4.0, 5.1, 0.8194013862312347
1.0, 6.4, 0.338, 16.4, 76.9, -1.9, -4.7, 0.9980255456640997
1.0, 6.4, 0.53, 4.0, 84.2, -1.5, 3.4, 0.9033306532303114
1.0, 6.4, 0.106, 13.9, 37.7, -5.5, -4.4, 0.8463895919698985
1.0, 6.4, 0.137, 4.5, 63.8, -2.8, 4.7, 0.7653011292808634
1.0, 6.4, 0.801, 16.1, 84.4, -0.4, 5.2, 0.9966589660621715
1.0, 6.4, 0.727, 12.2, 80.8, -3.1, 9.1, 0.9819397252818494
1.0, 6.4, 0.085, 10.3, 39.1, 2.6, -0.6, 0.7701864761173149
1.0, 6.4, 0.036, 19.0, 83.0, 3.5, -0.8, 0.997633351641948
1.0, 6.4, 0.314, 4.5, 43.8, 3.7, -3.5, 0.9056337759879626
1.0, 6.4, 0.427, 7.2, 46.9, 5.5, 4.4, 0.7908977549234091
1.0, 6.4, 0.596, 8.7, 82.1, 0.1, 1.0, 0.9927360200125871
1.0, 6.4, 0.988, 3.9, 78.4, 0.4, 2.4, 0.5088026409888958
1.0, 6.4, 0.546, 16.8, 81.3, 0.6, 0.7, 0.9962953706834414
1.0, 6.4, 0.087, 18.0, 46.4, 3.8, -4.9, 0.9667852513331741
1.0, 6.4, 0.6, 3.5, 78.6, 3.4, 3.6, 0.9736341397598925
1.0, 6.4, 0.448, 4.1, 71.1, -1.2, -6.4, 0.7000394847710778
1.0, 6.4, 0.242, 13.2, 12.2, 0.2, 5.8, 0.9820704401204846
1.0, 6.4, 0.1, 17.4, 84.0, 8.9, -5.9, 0.9986432039714351
1.0, 6.4, 0.576, 3.6, 12.3, -4.1, -0.6, 0.9944866557948394
1.0, 6.4, 0.304, 17.0, 23.4, 7.7, 0.1, 0.9255715672716771
1.0, 6.4, 0.491, 12.9, 64.1, -4.9, -4.2, 0.9872220808351332
1.0, 6.4, 0.469, 15.6, 72.5, 7.7, 1.3, 0.9987012106154023
1.0, 6.4, 0.521, 13.9, 52.9, 6.0, 1.0, 0.971019871638822
1.0, 6.4, 0.233, 11.8, 24.2, 6.0, 2.0, 0.9844268974650231
1.0, 6.4, 0.213, 5.0, 42.7, -2.1, 6.3, 0.9225854398005846
1.0, 6.4, 0.345, 15.2, 38.3, -0.6, -6.5, 0.8208006302387114
1.0, 6.4, 0.044, 8.4, 13.1, -4.2, -6.7, 0.9941059044214824
1.0, 6.4, 0.856, 17.9, 63.4, 0.0, -0.7, 0.9936860387377275
1.0, 6.4, 0.38, 3.8, 53.5, 4.8, 2.5, 0.6091060515744185
1.0, 6.4, 0.601, 16.2, 22.6, -3.3, 8.1, 0.8722693078181154
1.0, 6.4, 0.82, 13.6, 64.6, -1.6, 4.5, 0.9926572788872525
1.0, 6.4, 0.334, 13.9, 23.6, 8.7, -3.8, 0.9475748316672161
1.0, 6.4, 0.565, 8.6, 8.3, -0.8, 4.5, 0.9884676030169365
